Date,Open,High,Low,Close,Adj Close,Volume
2023-10-01,0.254043,0.267471,0.254019,0.265895,0.265895,165088197
2023-10-02,0.265888,0.269036,0.258258,0.259513,0.259513,212684773
2023-10-03,0.259486,0.264218,0.258090,0.261028,0.261028,160216793
2023-10-04,0.261032,0.261050,0.254574,0.259315,0.259315,138128623
2023-10-05,0.259293,0.263718,0.257044,0.260149,0.260149,103200693
2023-10-06,0.260151,0.266558,0.260151,0.264872,0.264872,93706350
2023-10-07,0.264865,0.265521,0.257214,0.258735,0.258735,116821694
2023-10-08,0.258752,0.259127,0.255947,0.256629,0.256629,77624838
2023-10-09,0.256610,0.258533,0.249425,0.251642,0.251642,134553476
2023-10-10,0.251631,0.253101,0.247501,0.249141,0.249141,110183513
2023-10-11,0.249127,0.249481,0.245405,0.248001,0.248001,113880690
2023-10-12,0.247999,0.248071,0.243176,0.245922,0.245922,92208448
2023-10-13,0.245911,0.249159,0.245187,0.246146,0.246146,99166403
2023-10-14,0.246146,0.247656,0.245249,0.247011,0.247011,71920372
2023-10-15,0.246998,0.248246,0.245786,0.247356,0.247356,81524646
2023-10-16,0.247346,0.257798,0.247346,0.251563,0.251563,187099359
2023-10-17,0.251558,0.251676,0.246613,0.247115,0.247115,131953756
2023-10-18,0.247103,0.247931,0.243062,0.243453,0.243453,107992174
2023-10-19,0.243453,0.246924,0.240656,0.246923,0.246923,120374373
2023-10-20,0.246938,0.252718,0.245981,0.251138,0.251138,137878642
2023-10-21,0.251122,0.261917,0.249984,0.258585,0.258585,138559397
2023-10-22,0.258589,0.264044,0.256831,0.263573,0.263573,121687463
2023-10-23,0.265028,0.279954,0.262487,0.279954,0.279954,313911948
2023-10-24,0.279988,0.293189,0.274948,0.278993,0.278993,386762854
2023-10-25,0.279034,0.289457,0.277126,0.280556,0.280556,244471413
2023-10-26,0.280594,0.297003,0.280594,0.287292,0.287292,299638179
2023-10-27,0.287255,0.292160,0.281392,0.289468,0.289468,188027753
2023-10-28,0.289501,0.297282,0.289208,0.291250,0.291250,146280893
2023-10-29,0.291269,0.298596,0.289510,0.295283,0.295283,144390110
2023-10-30,0.295305,0.302964,0.292755,0.302734,0.302734,222609453
2023-10-31,0.302774,0.304614,0.287829,0.293107,0.293107,303875077
2023-11-01,0.293126,0.308579,0.285319,0.307459,0.307459,334066110
2023-11-02,0.307450,0.329129,0.301588,0.323142,0.323142,459253523
2023-11-03,0.323148,0.329196,0.312631,0.329021,0.329021,355511861
2023-11-04,0.329031,0.330268,0.321918,0.328542,0.328542,203170093
2023-11-05,0.328553,0.349790,0.327182,0.342870,0.342870,315492035
